,zip1,zip1_value,zip2,zip2_value
744,11209,396.0,11368,485.0
745,11209,309.0,11204,64.0
746,11209,186.0,10312,20.0
747,11209,277.0,11369,73.0
748,11209,194.0,11221,106.0
749,11209,214.0,11411,16.0
750,11209,37.0,11203,9.0
751,11209,225.0,11208,31.0
752,11209,269.0,11371,143.0
753,11209,250.0,11414,62.0
754,11209,341.0,11375,427.0
755,11209,360.0,83,310.0
756,11209,239.0,10027,148.0
757,11209,490.0,10036,785.0
758,11209,282.0,10461,149.0
759,11209,3.0,10167,5.0
760,11209,404.0,10017,874.0
761,11209,315.0,11101,552.0
762,11209,231.0,10035,364.0
763,11209,326.0,10016,354.0
764,11209,590.0,10001,2240.0
765,11209,458.0,10019,801.0
766,11209,272.0,10032,506.0
767,11209,307.0,10065,415.0
768,11209,270.0,10020,347.0
769,11209,229.0,10453,60.0
770,11209,172.0,11416,18.0
771,11209,328.0,10024,195.0
772,11209,235.0,10026,37.0
773,11209,235.0,11213,46.0
774,11209,358.0,10023,448.0
775,11209,481.0,10018,430.0
776,11209,288.0,10309,80.0
777,11209,3.0,10174,1.0
778,11209,324.0,10021,211.0
779,11209,288.0,11236,169.0
780,11209,243.0,11106,56.0
781,11209,0.0,10097,0.0
782,11209,407.0,10014,354.0
783,11209,525.0,10011,587.0
784,11209,217.0,11366,82.0
785,11209,561.0,10012,482.0
786,11209,510.0,10007,3438.0
787,11209,383.0,10003,836.0
788,11209,392.0,11211,720.0
789,11209,395.0,10002,298.0
790,11209,293.0,10029,119.0
791,11209,241.0,10048,34.0
792,11209,237.0,11216,98.0
793,11209,388.0,11217,395.0
794,11209,406.0,11222,473.0
795,11209,365.0,11226,743.0
796,11209,362.0,10038,280.0
797,11209,384.0,10022,580.0
798,11209,513.0,11215,547.0
799,11209,230.0,10468,67.0
800,11209,411.0,10013,521.0
801,11209,244.0,10005,111.0
802,11209,16.0,11040,3.0
803,11209,277.0,11385,165.0
804,11209,321.0,10033,387.0
805,11209,314.0,10004,172.0
806,11209,279.0,11378,468.0
807,11209,261.0,10452,284.0
808,11209,678.0,11201,926.0
809,11209,243.0,10474,33.0
810,11209,426.0,10010,408.0
811,11209,254.0,11238,90.0
812,11209,293.0,10006,123.0
813,11209,230.0,10040,37.0
814,11209,232.0,10455,52.0
815,11209,330.0,10306,111.0
816,11209,203.0,10009,155.0
817,11209,290.0,10128,300.0
818,11209,172.0,10459,72.0
819,11209,261.0,11355,67.0
820,11209,257.0,10465,289.0
821,11209,310.0,10462,553.0
822,11209,233.0,10451,277.0
823,11209,362.0,10025,293.0
824,11209,382.0,11229,426.0
825,11209,172.0,10282,10.0
826,11209,242.0,11370,80.0
827,11209,318.0,10031,115.0
828,11209,276.0,10034,109.0
829,11209,402.0,11235,284.0
830,11209,445.0,11367,503.0
831,11209,323.0,10028,265.0
832,11209,227.0,11426,74.0
833,11209,216.0,10457,105.0
834,11209,311.0,11102,134.0
835,11209,0.0,11109,0.0
836,11209,389.0,11234,223.0
837,11209,310.0,11435,501.0
838,11209,277.0,11354,126.0
839,11209,235.0,10281,34.0
840,11209,165.0,11433,59.0
841,11209,269.0,10472,206.0
842,11209,508.0,11231,249.0
843,11209,112.0,10069,18.0
844,11209,166.0,10030,11.0
845,11209,216.0,10456,15.0
846,11209,223.0,11205,100.0
847,11209,262.0,10305,139.0
848,11209,162.0,10469,23.0
849,11209,554.0,11220,531.0
850,11209,227.0,11415,36.0
851,11209,240.0,11364,150.0
852,11209,390.0,11230,18.0
853,11209,242.0,11434,49.0
854,11209,262.0,10460,285.0
855,11209,313.0,10463,206.0
856,11209,222.0,10280,15.0
857,11209,322.0,10075,182.0
858,11209,260.0,11379,32.0
859,11209,2.0,10260,1.0
